date,forecast_qty_total,forecast_qty_total_lower,forecast_qty_total_upper,sku_id
2024-09-22,1.7000492385982169,0.4262415485508659,3.0609333394193925,28809487326
2024-09-23,1.7010766973547964,0.4319823519688219,2.915144923030971,28809487326
2024-07-30,1.0,0.9999999986743434,1.0000000012462178,28809487836
2024-07-31,1.0,0.9999999987172893,1.0000000013141979,28809487836
2024-08-01,1.0,0.9999999987070296,1.000000001325365,28809487836
2024-08-02,1.0,0.999999998739989,1.0000000013212655,28809487836
2024-08-03,1.0,0.9999999987989777,1.0000000012805945,28809487836
2024-08-04,1.0,0.9999999987269912,1.0000000012964998,28809487836
2024-08-05,1.0,0.9999999987376204,1.000000001208369,28809487836
2024-08-06,1.0,0.9999999986460647,1.0000000012152768,28809487836
2024-08-07,1.0,0.9999999986234274,1.000000001361771,28809487836
2024-08-08,1.0,0.9999999987368252,1.0000000012759507,28809487836
2024-08-09,1.0,0.9999999988161241,1.0000000012503025,28809487836
2024-08-10,1.0,0.999999998667749,1.0000000011497288,28809487836
2024-08-11,1.0,0.9999999987823788,1.0000000013391133,28809487836
2024-08-12,1.0,0.9999999987356741,1.0000000012742492,28809487836
2024-08-13,1.0,0.9999999987885755,1.0000000014631427,28809487836
2024-08-14,1.0,0.9999999987870023,1.0000000013107022,28809487836
2024-08-15,1.0,0.99999999870402,1.0000000012663008,28809487836
2024-08-16,1.0,0.9999999986973568,1.00000000136315,28809487836
2024-08-17,1.0,0.9999999987440419,1.0000000013329378,28809487836
2024-08-18,1.0,0.9999999987531064,1.0000000013184498,28809487836
2024-08-19,1.0,0.9999999987098157,1.0000000013013233,28809487836
2024-08-20,1.0,0.9999999986387265,1.000000001318281,28809487836
2024-08-21,1.0,0.999999998679453,1.0000000013339958,28809487836
2024-08-22,1.0,0.9999999987701687,1.0000000013058457,28809487836
2024-08-23,1.0,0.999999998712668,1.0000000012475596,28809487836
2024-08-24,1.0,0.9999999987351628,1.0000000012834767,28809487836
2024-08-25,1.0,0.9999999987284759,1.000000001270153,28809487836
2024-08-26,1.0,0.9999999987799506,1.0000000013538246,28809487836
2024-09-10,1.949106336598325,0.26107919058918416,3.7228064967685186,28809489369
2024-09-11,1.9619285666023438,0.37507442990900436,3.605771833948312,28809489369
2024-09-12,1.9747507966063653,0.38618917684684617,3.6471960519183098,28809489369
2024-09-13,1.9875730266103855,0.358151004003244,3.5816646305768156,28809489369
2024-09-14,2.000395256614406,0.3078975725640072,3.649723250723131,28809489369
2024-09-15,2.013217486618426,0.21162910880273392,3.661399005458908,28809489369
2024-09-16,2.026039716622446,0.38250256988668446,3.550513455996904,28809489369
2024-09-17,2.0388619466264677,0.39027558495530307,3.6485910334659772,28809489369
2024-09-18,2.051684176630488,0.3931064291589244,3.6523837457875787,28809489369
2024-09-19,2.064506406634508,0.48834368414994506,3.837805740093102,28809489369
2024-09-20,2.077328636638528,0.44022281356366344,3.6386618010193943,28809489369
2024-09-21,2.0901508666425497,0.47657605485196136,3.6648864753263495,28809489369
2024-09-22,2.1029730966465685,0.3601487843670506,3.8925736977270136,28809489369
2024-09-23,2.11579532665059,0.4575491725348364,3.7873269407043755,28809489369
2024-09-24,2.12861755665461,0.5433574173511729,3.906609931286027,28809489369
2024-09-25,2.1414397866586303,0.45644350671168676,3.831030063763298,28809489369
